Item Number,Description,MSC#,Item Group,Item Sub Group,Supplier,Supplier Part Number,Brand,Unit Cost
1323,0.2953 7.50 mm 150D BRIGHT ACCUPRO CARB 3FL JBR DRL,70693510,,,MSC,10395,ACCUPRO,46.38
1324,Accupro - Retention Knobs | Type: High Torque | Taper Size: CAT40,68952134,,,MSC,,,31.94
1325,"0.1575 4.00 mm End Mill, 11MM, 50MM, 3, SQ, FIN, CARB, EXO, ST",55467062,,,MSC,,,74.9
1326,0.4410 Kennametal - 1913499 - Screw Machine Length Drill Bits | Series/List: B966A | Drill Bit Size (mm): 11.20,8000747,,,MSC,1913501,KENNAMETAL,77.77
1327,08IRA60 HG220TR    HERTEL CARB PART PROF INS,53439667,,,MSC,H05766266,HERTEL,15.12
1328,A3G0500M05P02DF KCU25    CARB A3 GROOVING INSERT,42237222,,,MSC,4114411,KENNAMETAL,15.18
1329,0.1495 #25 2463 118D FIREX GUHR SC GP 3XD SCR MCH,80136161,,,MSC,9.02E+12,GUHRING,16.61
1330,0.1590 300 #21 STR FL STR SHK    OSG CARB CHUCKING REAMER,55447403,Milling,ChamferMills,MSC,300-1590,OSG,24.71
1331,"0.2500 End Mill, 4 Flute, 0.015 CR, SC, ALTiN, 2 1/2 OAL",58457797,,,MSC,4047720,KENNAMETAL,47.53
1332,0.1563 5/32X7/16X2 .01R ALCRN NIAGARA GP 4FL SC CR SEM,91339002,,,MSC,N68239,NIAGARA,31.97
1333,0.1250 1/8X3/8X1.5 .01R ALCRN    NIAGARA GP 4FL SC CR,91338996,,,MSC,N68237,NIAGARA,21.8
1334,0.1299 3.3 mm 118D FIREX GUHR SC GP 3XD SCR MCH DR,62991625,,,MSC,9.02E+12,GUHRING,13.72
1335,0.1413 3.59 mm SP FL STR SH    MAGAFOR CARB MICRO REAMER,78102209,Milling,ChamferMills,MSC,86000359,MAGAFOR,44.96
1336,0.0980 2463 #40 118D FIREX GUHR SC GP 3XD SCR MCH,62991807,,,MSC,9.02E+12,GUHRING,10.93
1337,0.1181 3.00mm M3x0.5 3969 6H 2FL COB MOLYGLIDE SPFL SB TAP,58541392,,,MSC,9.04E+12,GUHRING,15.43
1339,GPHW1211 KC5010    KENNAMETAL IND PROF INS,70713953,,,MSC,5133442,KENNAMETAL,22.56
1340,WNMG332-FP5 WPP20S CARB TURNING,36324713,,,MSC,,,10.96
1341,Kennametal - 4053381 - Turning Inserts | Material: Carbide | Insert Style: DNMG,44196186,,,MSC,,,21.65
1342,0.8750 Hertel - Taper Length Drill Bits | Drill Bit Size (Inch): 7/8 | Drill Bit Size (Decimal Inch): 0.8750,77425981,,,,,,53.73
1343,0.1875 Accupro - Corner Radius & Corner Chamfer End Mills | Mill Diameter (Inch): 3/16 | End Type: Corner Radius,86817897,,,MSC,,,24.65
1344,Iscar - 6094249 - Cut-Off Inserts | Material: Carbide | Insert Style: GFN,81120743,,,MSC,,,14.17
1345,Hertel - Boring Inserts | Material: Carbide | Insert Style: WPMT,74159831,,,MSC,,,18.23
1346,Kennametal - CCMT21.51 LF KCM15 Grade Carbide Turning Insert,76368208,,,MSC,3755565,KENNAMETAL,11.26
1347,0.2500 1/4 RAMPMILL.  XT025058I001T6CM,Swiftcarb,ENDMILLS,,Central,,Production Tool,60
1348,0.1875 OSG - 205001111 - Square End Mills | Mill Diameter (Inch): 3/16 | Number of Flutes: 4,44866929,,,MSC,,,19.75
1349,0.1250 OSG - 36100411 - Ball End Mills | Mill Diameter (Inch): 1/8 | Mill Diameter (Decimal Inch): 0.1250,51026490,,,MSC,,,40.9
1350,0.0625 OSG - 414-0625 - Square End Mills | Mill Diameter (mm): 1.59 | Mill Diameter (Inch): 1/16,1418060,,,MSC,,,8.94
1351,0.2657 6.75 mm OSG - 550026511 - Screw Machine Length Drill Bits | Series/List: 5500 | Drill Bit Size (mm): 6.75,50978964,,,MSC,,,76.66
1352,"0.1250 1/8"""" X 120DEG Chamfer Mill .01"""" Flat",70377221,Holemaking,ChamferMills,MSC,,,21.2
1353,0.2500 OSG - HP441-2500-BN - Ball End Mills | Mill Diameter (Inch): 1/4 | Mill Diameter (Decimal Inch): 0.2500,890707,,,MSC,,,35.37
1354,Kennametal - 1871033 - Turning Inserts | Material: Carbide | Insert Style: DPMT.  316L SS - BORING BAR_E08-SDUPR2 NK4,4946000,,,MSC,,,15.83
1355,Kennametal - 1560721 - Turning Inserts | Material: Carbide | Insert Style: DPGT.  6061-T6 Extruded Aluminum_Boring Bar-E08-SDUPR2NK4,1389691,,,MSC,,,17.35
1356,0.4000 Scientific Cutting Tools - TM400-24HA - Helical Flute Thread Mills | Threads Per Inch: 24 | Material: Solid Carbide,45712411,,,MSC,,,188.81
1357,0.5000 Guhring DIVER - 9067570127000 - Corner Radius & Corner Chamfer End Mills | Mill Diameter (Inch): 1/2 | End Type: Corner Chamfer,56152036,,,MSC,,GUHRING,80.52
1358,Kennametal - 1157962 - Indexable Drill Inserts | Material: Carbide | Insert Style: DFT. (17-4 PH H900 SS)(Indexable 01246073),1105238,,,MSC,,,13.64
